x   y   theta
3 6 275
3 6 285
3 6 295
3 6 305
3 6 315
3 6 325
4 5 325
5 4 325
6 3 325
7 2 325
7 2 335
8 2 335
9 2 335
10 2 335
11 2 335
11 2 325
10 3 325
10 3 315
10 3 305
10 3 295
10 4 295
10 5 295
10 5 305
9 6 305
8 7 305
8 7 295
8 7 285
8 7 275
8 7 275
8 7 275
8 8 275
8 9 275
8 10 275
8 11 275
8 12 275
8 13 275
8 13 275
8 14 275
8 15 275
8 15 265
8 15 255
8 15 245
8 15 235
9 16 235
9 16 225
9 16 215
10 17 215
10 17 205
11 17 205
11 17 195
12 17 195
12 17 185
12 17 175
12 17 165
12 17 155
12 17 145
13 16 145
14 15 145
15 14 145
16 13 145
16 13 135
16 13 125
16 13 115
16 13 105
16 13 95
16 13 85
